,TotalOdo,ACPressure,EngineWaterTemp,ExternalTemperatureAD_Voltage,IBS_V_Batt,IBS_I_Batt,IBS_T_Batt,IBS_I_Range,IBS_SOC,IBS_SOF_Q,IBS_SOC_Accuracy,IBS_SOF_Q_Accuracy,IBS_SOH_Q,IBS_SOF_V,IBS_SOH_Q_Accuracy,IBS_SOF_V_Accuracy,IBS_Q_received,IBS_Q_released,IBS_Tm_Lst_Reset_Days,IBS_R_Batt,IBS_R_Batt_25,IBS_SOF_t_Accuracy,IBS_PreWakeupVoltage,IBS_SOF_t,IBS_IBATT_QUIESCENT,IBS_SOF_V1,score
36,2621,133,74,77,11354,11354,74,1,99,104,2,2,138,156,0,2,2441,1774,848,96,97,2,1023,228,255,125,9.135644589621991
37,2621,130,75,77,11365,11365,74,1,99,104,2,2,138,156,0,2,2441,1774,848,96,97,2,1023,228,255,125,9.132308138282001
38,2621,127,75,77,11348,11348,74,1,99,104,2,2,138,156,0,2,2441,1774,848,96,97,2,1023,228,255,125,9.12412790254933
39,2621,124,75,77,11323,11323,74,1,99,104,2,2,138,156,0,2,2441,1774,848,96,97,2,1023,228,255,125,9.115409036956365
40,2621,122,75,77,11359,11359,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,97,2,1023,228,255,125,9.116703693369235
41,2621,120,75,77,11371,11371,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,97,2,1023,228,255,125,9.112821206639977
42,2621,119,75,77,11355,11355,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,233,255,125,9.119162044769007
43,2621,120,75,77,11351,11351,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,233,255,125,9.121237945598711
44,2621,120,75,77,11347,11347,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,233,255,125,9.120968630668564
45,2621,121,75,77,11392,11392,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,233,255,125,9.126343639392562
46,2621,121,75,77,11368,11368,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,233,255,125,9.124727749811683
47,2621,121,75,77,11387,11387,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,233,255,125,9.12600699572988
48,2621,122,75,77,11386,11386,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,233,255,125,9.128284882757193
49,2621,122,75,77,11398,11398,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,233,255,125,9.12909282754763
50,2621,123,75,77,11374,11374,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,233,255,125,9.129822153726602
51,2621,124,75,77,11387,11387,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,233,255,125,9.133042643009428
52,2621,125,75,77,11391,11391,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,239,255,125,9.142757765415402
53,2621,126,75,77,11373,11373,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,239,255,125,9.143891063989592
54,2621,126,75,77,11384,11384,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,239,255,125,9.144631680047494
55,2621,127,75,77,11356,11356,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,239,255,125,9.14509169129632
56,2621,127,76,77,11370,11370,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,239,255,125,9.14899287343349
57,2621,127,76,77,11386,11386,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,239,255,125,9.150070133154074
58,2621,128,76,77,11390,11390,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,239,255,125,9.15268466384407
59,2621,128,76,77,11387,11387,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,239,255,125,9.15248267764646
60,2621,125,76,77,11425,11425,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,239,255,125,9.148005522203302
61,2621,122,76,77,11381,11381,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,239,255,125,9.138007410692143
62,2621,119,76,77,11379,11379,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,244,255,125,9.136754265710833
63,2621,115,76,77,11390,11390,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,244,255,125,9.128114018729335
64,2621,112,76,77,11401,11401,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,244,255,125,9.121818987507687
65,2621,111,76,77,11383,11383,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,244,255,125,9.118261854562181
66,2621,108,76,77,11394,11394,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,244,255,125,9.111966823340532
67,2621,106,76,77,11279,11279,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,244,255,125,9.099533587579122
68,2621,104,76,77,11201,11201,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,244,255,125,9.089591514921567
69,2621,103,76,77,11151,11151,74,0,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,244,255,125,8.699264477919503
70,2621,103,76,77,11132,11132,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,244,255,125,9.082600616616691
71,2621,103,76,77,11122,11122,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,244,255,125,9.081927329291325
72,2621,103,76,77,11114,11114,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,248,255,125,9.086122427241683
73,2621,104,77,77,11083,11083,74,0,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,248,255,125,8.70472364755917
74,2621,105,77,77,11097,11097,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,248,255,125,9.09262685018992
75,2621,107,77,77,11090,11090,74,1,99,105,2,2,138,156,0,2,2441,1774,848,96,98,2,1023,248,255,125,9.096845980581863
